,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
1820,Banbury House,62500,Flat / Apartment,925,3,3,3,Banbury Road,London,E9 7EB
1821,Cadogan Square,250000,Flat / Apartment,1033,3,3,3,,London,SW1X 0JW
1822,Cadogan Square,40000,Flat / Apartment,1948,3,3,3,,London,SW1X 0HY
1823,Hale House,395000,Flat / Apartment,2573,3,3,3,34 De Vere Gardens,London,W8 5AQ
1824,Almorah Road,67500,Flat / Apartment,722,2,2,2,Canonbury,London,N1 3EU
1825,Sanderling Lodge,92500,Flat / Apartment,969,2,2,2,Star Place,London,E1W 1AJ
1826,Calbourne Road,155000,House,1963,4,4,4,,London,SW12 8LW
1827,Albany Mansions,999950,Flat / Apartment,927,2,2,2,Albert Bridge Road,London,SW11 4PQ
1828,Ability Place,71500,Flat / Apartment,969,2,2,2, Canary Wharf,London,E14 9DF
1829,White Hart Lane,165000,House,1869,4,4,4,Barnes,London,SW13 0PU
1830,Alwyne Square,265000,House,2314,5,5,5,Islington,London,N1 2JX
1831,Atlantic House,85000,Penthouse,1249,3,3,3, Shoreditch,London,E2 8HH
1832,New North Road,47500,Flat / Apartment,477,1,1,1,Hoxton,London,N1 6JB
1833,Bateman's Row,95000,Flat / Apartment,1190,2,2,2,,London,EC2A 3HH
1834,Cicada Road,125000,House,1658,4,4,4,Wandsworth,London,SW18 2NN
1835,Ennismore Avenue,250000,House,2960,5,5,5,Chiswick,London,W4 1SF
1836,Arbrook Lane,195000,House,2817,6,6,6,Esher,Surrey,KT10 9EG
1837,Riverside Court,295000,Penthouse,2128,3,3,3,20 Nine Elms Lane,London,SW8 5BZ
1838,Great Sutton Street,139500,Flat / Apartment,1150,2,2,2,,London,EC1V 0DP
1839,Otto Building,130000,Penthouse,1476,3,3,3,Downs Road,London,E5 8DE
1840,Albany Mansions,102500,Flat / Apartment,947,3,3,3,Albert Bridge Road,London,SW11 4PQ
1841,White Horse Lane,65000,House,997,2,2,2,,London,E1 4LR
1842,Mount Park Road,20000,House,2593,4,4,4,Harrow On The Hill,Middlesex,HA1 3LD
1843,Bushberry Road,95000,House,1298,4,4,4,,London,E9 5SX
1844,Wilmington House,50000,Flat / Apartment,572,1,1,1, Highbury,London,N5 1RX
1845,Garnet Street,120000,House,1125,3,3,3,,London,E1W 3QS
1846,Chilton Street,62500,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA
1847,Geraldine Road,135000,House,1873,5,5,5,Wandsworth,London,SW18 2NR
1848,Furlong Road,1899950,House,1250,3,3,3,,London,N7 8LS
1849,Morpeth Mansions,210000,Flat / Apartment,1556,4,4,4,Morpeth Terrace,London,SW1P 1ET
1850,Lord North Street,390000,House,2139,3,3,3,,London,SW1P 3LD
1851,No.1 Grosvenor Square,3975000,New development,5623,5,5,5,Mayfair,London,W1K 4AB
1852,No.1 Grosvenor Square,1425000,New development,2415,3,3,3,Mayfair,London,W1K 4AB
1853,Montpelier Road,130000,Flat / Apartment,1986,3,3,3,,London,W5 2QS
1854,Greencoat Place,73000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB
1855,Auriol Road,409950,Flat / Apartment,463,1,1,1,,London,W14 0SR
1856,Allfarthing Lane,73500,Flat / Apartment,983,3,3,3,Wandsworth,London,SW18 2PG
1857,Provost Street,49500,Flat / Apartment,499,1,1,1,Old Street,London,N1 7NB
1858,City Lofts,87500,Flat / Apartment,898,1,1,1, Shoreditch,London,EC2A 4LE
1859,Randolph Avenue,125000,Flat / Apartment,913,2,2,2,,London,W9 1DJ
1860,Marlborough,70000,Flat / Apartment,870,2,2,2,Maida Vale,London,W9 1RW
1861,No.1 Grosvenor,825000,New development,1455,2,2,2,Mayfair,London,W1K 4AB
1862,Southgate Road,83500,Flat / Apartment,878,2,2,2,,London,N1 3JZ
1863,Orsman Road,80000,New development,920,3,3,3,Hackney,London,N1 5QJ
1864,York Avenue,195000,House,2006,5,5,5,,London,SW14 7LG
1865,Globe Road,72500,House,904,3,3,3,,London,E1 4DY
1866,Orchard Building,90000,Flat / Apartment,802,2,2,2, Clerkenwell,London,EC1V 3AP
1867,Park Lane,80000,Flat / Apartment,532,1,1,1,Mayfair,London,W1K 7AF
1868,Rusthall Avenue,255000,House,2679,5,5,5,Chiswick,London,W4 1BW
1869,The Drive,140000,Bungalow,2921,4,4,4, Uxbridge,Middlesex,UB10 8AF
1870,Shirland Road,67500,Flat / Apartment,676,1,1,1,Maida Vale,London,W9 2BT
1871,Herndon Road,72500,Flat / Apartment,875,2,2,2,,London,SW18 2DQ
1872,Sir John Lyon House,395000,Flat / Apartment,2780,3,3,3,8 High Timber Street,London,EC4V 3PA
1873,Montrose Gardens,475000,House,8590,7,7,7,Oxshott,Surrey,KT22 0UU
1874,Grosvenor Road,225000,House,2736,5,5,5,Chiswick,London,W4 4EH
1875,Leys Road,430000,House,9623,7,7,7,Oxshott,Surrey,KT22 0QE
1876,Huron Road,255000,House,3753,7,7,7,,London,SW17 8RD
1877,Herondale Avenue,550000,House,4292,6,6,6,Wandsworth,London,SW18 3JN
1878,Victoria Rise,43500,Flat / Apartment,465,1,1,1,,London,SW4 0PF
1879,Stapleton Hall Road,499950,Flat / Apartment,666,1,1,1,,London,N4 4QA
1880,Denton Road,180000,House,2098,4,4,4,,Twickenham,TW1 2TN
1881,Gunmakers Lane,43500,Flat / Apartment,506,1,1,1,,London,E3 5GG
1882,Rochester Row,99500,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
1883,Highstone House,155000,Flat / Apartment,1315,3,3,3,21 Highbury Crescent,London,N5 1RX
1884,Vincent Square,360000,House,2600,4,4,4,,London,SW1P 2NP
1885,Elsham Road,75000,Flat / Apartment,709,2,2,2,,London,W14 8HB
1886,Cambridge Street,68000,Flat / Apartment,581,2,2,2,Pimlico,London,SW1V 4QE
1887,Roden Street,139500,House,1428,5,5,5,Holloway,London,N7 6QJ
1888,Bolanachi Building,57500,Flat / Apartment,745,2,2,2,Enid Street,London,SE16 3EX
1889,Barham Road,267500,House,3595,5,5,5,Wimbledon,London,SW20 0ET
1890,Shepherdess Walk,220000,Flat / Apartment,2288,3,3,3,Old Street,London,N1 7LB
1891,Wellington Close,230000,House,1447,2,2,2,,London,W11 2AN
1892,Kenilworth Gardens,52000,House,1162,4,4,4,,London,SE18 3JB
1893,Hillbrook Road,87500,House,1140,4,4,4,,London,SW17 8SF
1894,Television Centre,74000,Penthouse,579,1,1,1,101 Wood Lane,London,W12 7FS
1895,Phoenix Way,52500,Flat / Apartment,699,2,2,2,,London,SW18 2PW
1896,Brunswick Gardens,950000,House,4454,5,5,5,,London,W8 4AJ
1897,Wood Crescent,125000,Flat / Apartment,897,2,2,2,,London,W12 7GP
1898,Graveney Road,79500,House,1236,3,3,3,,London,SW17 0EQ
1899,Philbeach Gardens,93500,Flat / Apartment,683,2,2,2,,London,SW5 9DY
1900,Chiswick Village,53500,Flat / Apartment,678,2,2,2,,London,W4 3DF
1901,Sulgrave Road,199500,House,2055,4,4,4,,London,W6 7QH
1902,Coleraine Road,180000,House,2996,5,5,5,Blackheath,London,SE3 7PQ
1903,Wellfield Road,75000,House,1030,3,3,3,,London,SW16 2BY
1904,17 Lillie Square,143000,New development,905,2,2,2, Earls Court,London,SW6 1UE
1905,Claremont Square,150000,Flat / Apartment,1197,2,2,2,,London,N1 9LS
1906,Leppoc Road,189000,House,2408,5,5,5,,London,SW4 9LT
1907,Walsingham,199000,Flat / Apartment,1364,3,3,3,St. Johns Wood Park,London,NW8 6RG
1908,Battersea Park Road,82500,Flat / Apartment,1109,2,2,2,,London,SW11 4ND
1909,Samford House,52500,Flat / Apartment,779,4,4,4,Charlotte Terrace,London,N1 0JF
1910,Buckston Browne Gardens,190000,House,4558,5,5,5, Orpington,Kent,BR6 7FF
1911,Leathwaite Road,72500,Flat / Apartment,635,2,2,2,,London,SW11 1XQ
1912,Telfords Yard,90000,Flat / Apartment,1436,2,2,2,,London,E1W 2BS
1913,Belgrave Road,399500,House,4642,6,6,6,Pimlico,London,SW1V 2BQ
1914,Dalby Road,110000,House,1420,3,3,3, Wandsworth,London1500,SW18 1AW
1915,Deerings Drive,97500,House,1448,4,4,4,Pinner,Middlesex,HA5 2NZ
1916,Astonville Street,122500,House,1495,4,4,4,Southfields,London,SW18 5AG
1917,Upper Halliford Road,32500,Flat / Apartment,601,2,2,2,Shepperton,Middlesex,TW17 8SH
1918,Earlsfield Road,117500,House,2259,5,5,5,Wandsworth,London,SW18 3DY
1919,City Road,50000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG
1920,Wilton Place,660000,House,3388,5,5,5,,London,SW1X 8RH
1921,Hillbrow,85000,Flat / Apartment,1239,3,3,3, Richmond,Surrey,TW10 6BH
1922,Church Road,395000,House,4629,6,6,6, Richmond,Surrey,TW10 5HG
1923,Regents Park Road,175000,Flat / Apartment,1677,2,2,2,Primrose Hill,London,NW1 7SX
1924,Spencer Road,195000,House,2797,6,6,6,East Molesey,Surrey,KT8 0SP
1925,York Mansions,210000,Flat / Apartment,1550,3,3,3,Prince of Wales Drive,London,SW11 4BN
1926,Overstrand Mansions,168500,Flat / Apartment,1318,2,2,2,Prince of Wales Drive,London,SW11 4EU
1927,Candlemakers Apartments,55000,Flat / Apartment,759,1,1,1, Battersea,London,SW11 3RS
1928,Bond Mansions (Phase 2a),69000,New development,633,1,1,1,,Wornington Road,W10 5RZ
1929,Bond Mansions (Phase 2a),68500,New development,594,1,1,1,,Wornington Road,W10 5RZ
1930,Bond Mansions (Phase 2a),76500,New development,733,2,2,2,,Wornington Road,W10 5RZ
1931,Cavendish Road,43500,Flat / Apartment,412,1,1,1,,London,SW12 0BH
1932,Cavendish Road,43500,Flat / Apartment,420,1,1,1,,London,SW12 0BH
1933,Bond Mansions (Phase 2a),82500,New development,775,2,2,2,,Wornington Road,W10 5RZ
1934,Gowing House,115000,New development,1206,3,3,3, Wandsworth,London,SW18 1SZ
1935,Bond Mansions,71000,New development,830,1,1,1,,Wornington Road,W10 5RZ
1936,Avenue Close,169500,Flat / Apartment,1168,2,2,2,Avenue Road,London,NW8 6DA
1937,Provost Street,50000,Flat / Apartment,508,1,1,1,Shoreditch,London,N1 7NB
1938,Cavendish Road,85000,Flat / Apartment,907,3,3,3,,London,SW12 0BH
1939,The Listed Building,97000,Flat / Apartment,1350,2,2,2,350 The Highway,London,E1W 3HU
1940,Highbury Hill,165000,House,1642,4,4,4,,London,N5 1AU
1941,Reynolds House,47500,Flat / Apartment,663,2,2,2,Approach Road,London,E2 9JR
1942,Trouville Road,105000,Flat / Apartment,1050,2,2,2,,London,SW4 8QL
1943,Clancarty Road,175000,House,1770,4,4,4,,London,SW6 3AH
1944,Pembridge Road,75000,Flat / Apartment,477,1,1,1,,London,W11 3HN
1945,Kensington House,65000,Flat / Apartment,1162,2,2,2, Woodford Green,Essex,IG8 8RJ
1946,Belsize Avenue,58000,Flat / Apartment,607,1,1,1,,London,NW3 4BL
1947,17 Lillie Square,168000,New development,1100,2,2,2, Earls Court,London,SW6 1UE
1948,Turner House,125000,Flat / Apartment,802,1,1,1, Covent Garden,London,WC2R 0PP
1949,Pierhead Lock,70000,Flat / Apartment,1387,4,4,4, Canary Wharf,London,E14 3FD
1950,Barmouth Road,799999,Flat / Apartment,1283,2,2,2,Wandsworth,London,SW18 2DN
1951,Margil House,82500,Flat / Apartment,1175,3,3,3,Singapore Road,London,W13 0FD
1952,Television Centre,105000,Flat / Apartment,953,2,2,2,101 Wood Lane,London,W12 7FT
1953,St. Ann's Crescent,57500,Flat / Apartment,720,2,2,2,,London,SW18 2LR
1954,Eamont Court,72500,Flat / Apartment,617,2,2,2, St Johns Wood,London,NW8 7DW
1955,Hampton Court Way,10000,House,1827,4,4,4,,Thames Ditton,KT7 0LT
1956,Lanson Building,52500,Flat / Apartment,472,1,1,1,348 Queenstown Road,London,SW11 8QN
1957,Hepworth Court,160000,Flat / Apartment,1019,3,3,3,30 Gatliff Road,London,SW1W 8QP
1958,Quarry Road,155000,House,2326,5,5,5,Wandsworth,London,SW18 2QH
1959,Barmouth Road,75000,Flat / Apartment,1176,3,3,3,Wandsworth,London,SW18 2DT
1960,Baxendale Street,95000,House,987,2,2,2,Shoreditch,London,E2 7BY
1961,Redesdale Street,425000,House,2223,4,4,4,,London,SW3 4BL
1962,Oxford Road,71000,Flat / Apartment,730,2,2,2,Putney,London,SW15 2LF
1963,Ravenswood Park,110000,House,2007,4,4,4,Northwood,Middlesex,HA6 3PR
1964,Davenham Avenue,160000,House,2914,4,4,4,Northwood,Middlesex,HA6 3HW
1965,Chiltern Place,1295000,New development,2840,2,2,2, Marylebone,London,W1U 4EJ
1966,Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,3,Highbury,London,N5 2NP
1967,Devonshire Road,899950,House,1344,5,5,5,,London,W5 4TR
1968,Barwell Court Farmhouse,699950,House,1410,3,3,3, Chessington,Surrey,KT9 2LZ
1969,Hugero Point,399995,Flat / Apartment,569,1,1,1, Greenwich,London,SE10 0GS
1970,Ionian Building,52500,Flat / Apartment,814,1,1,1,45 Narrow Street,London,E14 8DW
1971,Palladian Gardens,250000,New development,2967,5,5,5,Chiswick,London,W4 2ER
1972,Vanilla & Sesame Court,95000,Flat / Apartment,698,2,2,2,Curlew Street,London,SE1 2NP
1973,George Road,175000,New development,2553,5,5,5,Kingston Upon Thames,Surrey,KT2 7NR
1974,Lysia Street,122500,House,1510,4,4,4,Fulham,London,SW6 6NE
1975,Stormont Road,70000,Flat / Apartment,678,2,2,2,,London,SW11 5EJ
1976,17 Lillie Square,217000,New development,1081,3,3,3, Earls Court,London,SW6 1UE
1977,Cholmondeley Walk,325000,House,3410,3,3,3,Richmond,Surrey,TW9 1NS
1978,Talisman Tower,63000,Flat / Apartment,709,2,2,2, Canary Wharf,London,E14 9BU
1979,St Paul Street,160000,House,1565,3,3,3,Islington,London,N1 7AH
1980,Balcorne Street,47500,Flat / Apartment,626,2,2,2,South Hackney,London,E9 7AU
1981,Ormond Road,102500,Flat / Apartment,992,3,3,3,Richmond,Surrey,TW10 6TH
1982,Fulham Road,50000,Flat / Apartment,481,1,1,1,,London,SW6 5SA
1983,Cleveland Street,55000,Flat / Apartment,358,1,1,1,Fitzrovia,London,W1T 6NU
1984,Ferry Road,435000,House,4862,6,6,6,Barnes,London,SW13 9PR
1985,Greenhill Court,57500,Flat / Apartment,997,2,2,2, Northwood,Middlesex,HA6 2BD
1986,Orchard Rise,265000,House,3009,5,5,5,Richmond,Surrey,TW10 5BX
1987,Addison Gardens,77500,Flat / Apartment,1173,1,1,1,,London,W14 0DS
1988,Wadham Road,134500,House,1909,4,4,4,Putney,London,SW15 2LS
1989,Carmalt Gardens,225000,House,2978,5,5,5,Putney,London,SW15 6NE
1990,Falcon Wharf,50000,Flat / Apartment,752,1,1,1, Battersea,London,SW11 3RY
1991,Parliament View Apartments,160000,Flat / Apartment,1192,2,2,2,Lambeth,London,SE1 7XQ
1992,Drapers Yard,51500,Flat / Apartment,578,1,1,1,Wandsworth,London,SW18 1SF
1993,East Hill,49500,Flat / Apartment,693,1,1,1,,London,SW18 2HQ
1994,Coborn Road,148500,House,1541,4,4,4,Bow,London,E3 2DA
1995,Park Village East,365000,House,2034,4,4,4,Regent's Park,London,NW1 7PZ
1996,Haberdasher Street,82500,Penthouse,896,3,3,3,,London,N1 6EJ
1997,Melrose Road,63000,House,1596,4,4,4,Coulsdon,Surrey,CR5 3JH
1998,Elspeth Road,67500,Flat / Apartment,1021,3,3,3,,London,SW11 1DS
1999,Knightsbridge,1795000,New development,5880,5,5,5,,London,SW3 2AH
2000,Clephane Road,699950,Flat / Apartment,976,3,3,3,Canonbury,London,N1 2FT
2001,Thorpe Hall Mansions,60000,Flat / Apartment,854,3,3,3,Eaton Rise,London,W5 2HB
2002,Aragon Avenue,90000,House,1363,4,4,4,Thames Ditton,Surrey,KT7 0PY
2003,Woodbourne Drive,119500,House,2149,4,4,4, Esher,Surrey,KT10 0DR
2004,Des Barres Court,39500,Penthouse,594,1,1,1, Greenwich,London,SE10 0GY
2005,Landmark East Tower,79500,Flat / Apartment,862,2,2,2,24 Marsh Wall,London,E14 9DB
2006,Argyll Mansions,135000,Flat / Apartment,1768,3,3,3,Bishops King Road,London,W14 8QQ
2007,Benbow House,360000,Flat / Apartment,2147,3,3,3,24 New Globe Walk,London,SE1 9DS
2008,Fernshaw Mansions,1599950,Flat / Apartment,1111,3,3,3,Fernshaw Road,London,SW10 0TD
2009,The Tower,185000,Flat / Apartment,1176,2,2,2,1 St. George Wharf,London,SW8 2DU
2010,Weldin Mews,87500,House,1211,3,3,3,Putney,London,SW18 1FT
2011,Portman Avenue,135000,House,1830,5,5,5,,London,SW14 8NX
2012,Bolingbroke Grove,62500,Flat / Apartment,760,2,2,2,,London,SW11 6HB
2013,North Side Wandsworth Common,550000,House,4273,6,6,6,,London,SW18 2SU
2014,Chiswick Wharf,159500,House,1643,5,5,5,Chiswick,London,W4 2SR
2015,Pembridge Villas,475000,House,2979,4,4,4,,London,W11 3EN
2016,Whittingstall Road,67500,Flat / Apartment,638,1,1,1,Fulham,London,SW6 4EA
2017,Noel Road,90000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
2018,Buckland Crescent,645000,House,5288,6,6,6,Belsize Park,London,NW3 5DX
2019,Chantry Street,160000,House,1195,2,2,2,Islington,London,N1 8NL
2020,Curzon Street,375000,Flat / Apartment,1358,2,2,2,Mayfair,London,W1J 5HG
2021,Banister House,46500,Flat / Apartment,730,2,2,2,Homerton High Street,London,E9 6BH
2022,North Street,85000,Flat / Apartment,842,2,2,2,,London,SW4 0HQ
2023,Baronsmead Road,325000,House,3179,6,6,6,Barnes,London,SW13 9RR
2024,Tower View Apartments,150000,Flat / Apartment,1200,2,2,2,84 St. Katharines Way,London,E1W 1BE
2025,Old School Square,45000,Flat / Apartment,717,2,2,2,Canary Wharf,London,E14 7DJ
2026,Ashley Gardens,237500,Flat / Apartment,2123,3,3,3,Emery Hill Street,London,SW1P 1PD
2027,Broom Close,155000,House,3065,4,4,4,Esher,Surrey,KT10 9ET
2028,Elers Road,178000,House,2264,5,5,5,Ealing,London,W13 9QB
2029,Mortimer Road,77500,Flat / Apartment,729,2,2,2,De Beauvoir,London,N1 4LA
2030,Palace Mansions,145000,Flat / Apartment,1700,4,4,4,Earsby Street,London,W14 8QW
2031,Wendon Street,42500,Flat / Apartment,563,1,1,1,Bow,London,E3 2JR
2032,Cheyne Walk,225000,Flat / Apartment,1171,2,2,2,,London,SW3 5LX
2033,Hyde Park Gardens,425000,Penthouse,1946,4,4,4,,London,W2 2LU
2034,Byfeld Gardens,20000,House,2009,4,4,4,Barnes,London,SW13 9HP
2035,Severnake Close,80000,House,1260,4,4,4,Canary Wharf,London,E14 9WE
2036,Harrowgate Road,90000,House,1275,3,3,3,Homerton,London,E9 5EB
2037,Glebe Place,695000,House,3774,5,5,5,,London,SW3 5JB
2038,Borneo Street,77900,Flat / Apartment,832,2,2,2,Putney,London,SW15 1QQ
2039,Dyers Lane,94500,House,1146,2,2,2,Putney,London,SW15 6JR
2040,Cygnet Close,129500,House,2055,4,4,4,Northwood,Middlesex,HA6 2TA
2041,Aristotle Road,599999,Flat / Apartment,821,2,2,2,,London,SW4 7UZ
2042,Northcote Road,55000,Flat / Apartment,630,2,2,2,,London,SW11 6QB
2043,Vardens Road,70000,Flat / Apartment,680,2,2,2,,London,SW11 1RQ
2044,Waterloo Terrace,185000,House,1512,3,3,3,Islington,London,N1 1TQ
2045,Ember Lane,1299995,House,2394,5,5,5,Esher,Surrey,KT10 8EF
2046,Palace Road,285000,House,5116,6,6,6,East Molesey,Surrey,KT8 9DW
2047,Sheen Common Drive,265000,House,2942,6,6,6,Richmond,Surrey,TW10 5BW
2048,Vicary House,79500,New development,541,1,1,1,24 Bartholomew Close,London,EC1A 7BB
2049,47 Pilot Walk,99500,Penthouse,1485,3,3,3,Greenwich,London,SE10 0NW
2050,The Chase,285000,House,5380,6,6,6, Tadworth,Surrey,KT20 6HZ
2051,Saltram Crescent,75000,Flat / Apartment,1043,3,3,3,,London,W9 3JS
2052,Langroyd Road,90000,House,1207,3,3,3,,London,SW17 7PL
2053,Leighton House,87500,Flat / Apartment,922,3,3,3,John Islip Street,London,SW1P 4EA
2054,Tennyson Road,77500,House,1201,3,3,3,,London,SW19 8SH
2055,Port East Apartments,56500,Flat / Apartment,653,1,1,1, Canary Wharf,London,E14 4AX
2056,City Road,20000,New development,1342,3,3,3,Shoreditch,London,EC1V 1AZ
2057,City Road,10000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
2058,Hillgate Place,307500,House,1477,3,3,3,,London,W8 7ST
2059,Albert Mews,125000,House,1877,4,4,4,Canary Wharf,London,E14 8EH
2060,Newman Street,89500,Flat / Apartment,601,1,1,1,Fitzrovia,London,W1T 1PN
2061,City Road,90000,Flat / Apartment,1273,2,2,2,Shoreditch,London,EC1V 2NR
2062,Priory Lane,699950,House,1226,3,3,3,West Molesey,Surrey,KT8 2PS
2063,Dartmouth Park Road,85000,Flat / Apartment,1382,3,3,3,Dartmouth Park,London,NW5 1SX
2064,Battersea Church Road,72500,Flat / Apartment,872,2,2,2,Battersea,London,SW11 3LY
2065,Mapleton Crescent,34500,Flat / Apartment,433,1,1,1,Wandsworth,London,SW18 4GY
2066,Oxhey Road,95000,House,1896,4,4,4,Oxhey,Watford,WD19 4QQ
2067,Venice Lodge,170000,Penthouse,1378,3,3,3,Maida Vale,London,W9 1SD
2068,Stratford Road,155000,Flat / Apartment,958,3,3,3,,London,W8 6QA
2069,Imperial Court,135000,Flat / Apartment,1428,3,3,3,4-10 Lexham Gardens,London,W8 5JH
2070,Highbury Place,999950,Flat / Apartment,726,2,2,2,Highbury,London,N5 1QZ
2071,Cross Street,330000,House,2640,5,5,5,Islington,London,N1 2BH
2072,Kings Drive,120000,House,2491,3,3,3,Surbiton,Surrey,KT5 8NQ
2073,Winterdown Road,899950,House,1504,3,3,3,Esher,Surrey,KT10 8LJ
2074,Marine Wharf East,48500,New development,545,1,1,1,,Surrey Quays,SE16 7UD
2075,Lucienne Court,63000,Penthouse,1043,2,2,2,72 Lindfield Street,London,E14 6GT
2076,47 Pilot Walk,72000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
2077,Park Road,235000,House,2666,4,4,4,Grove Park,London,W4 3HP
2078,Edgarley Terrace,80000,Flat / Apartment,703,2,2,2,,London,SW6 6QE
2079,Octavia Street,180000,House,1909,4,4,4,Battersea,London,SW11 3DN
2080,Barrow Road,165000,House,2942,5,5,5,,London,SW16 5PE
2081,Marner Point,367500,Flat / Apartment,472,1,1,1, Bow,London,E3 3QE
2082,Shandon Road,94500,Flat / Apartment,1081,2,2,2,,London,SW4 9HP
2083,Princes Drive,250000,House,5101,6,6,6, Leatherhead,Surrey,KT22 0UL
2084,Watford Heath,99500,House,1845,4,4,4,Oxhey Village,Watford,WD19 4EU
2085,Catalina House,68500,Flat / Apartment,560,1,1,1,4 Canter Way,London,E1 8QE
2086,Rosemont Road,110000,House,1582,4,4,4,Hampstead,London,NW3 6NE
2087,17 Lillie Square,86500,New development,606,1,1,1, Earls Court,London,SW6 1UE
2088,Haverstock Place,72500,Flat / Apartment,696,2,2,2,Haverstock Street,London,N1 8BX
2089,Saville Road,120000,House,1310,4,4,4,Chiswick,London,W4 5HG
2090,Castelnau,170000,House,2126,4,4,4,Barnes,London,SW13 9ER
2091,East Hill,42500,Flat / Apartment,574,1,1,1,,London,SW18 2HG
2092,Herne Road,99500,House,1839,5,5,5,Surbiton,Surrey,KT6 5BX
2093,Ludo Building,52500,Flat / Apartment,596,2,2,2,375 Earlsfield Road,London,SW18 3DG
2094,Paultons Square,635000,House,2948,4,4,4,,London,SW3 5AP
2095,Broom Road,227500,House,2803,5,5,5,Teddington,Middlesex,TW11 9PG
2096,Burnelli Building,82500,Flat / Apartment,722,2,2,2, 352 Queenstown Road,London,SW11 8NG
2097,Peninsula Heights,175000,Flat / Apartment,1481,2,2,2,93 Albert Embankment,London,SE1 7TY
2098,Atheldene Road,110000,House,1632,3,3,3, Wandsworth,London,SW18 3BN
2099,Old Ford Road,53000,Flat / Apartment,626,2,2,2,,London,E3 5NQ
2100,St. Ann's Terrace,179500,Flat / Apartment,1149,2,2,2,St. John's Wood,London,NW8 6PH
2101,Mallinson Road,72500,Flat / Apartment,805,2,2,2,,London,SW11 1BL
2102,Richmond Road,77500,Flat / Apartment,996,2,2,2,Hackney,London,E8 3QW
2103,Manor Road,85000,House,1242,3,3,3,,London,W13 0JA
2104,The Gallops,82500,House,1272,3,3,3,Esher,Surrey,KT10 8BN
2105,Henry Tate Mews,84500,House,1510,4,4,4,,London,SW16 3HA
2106,Paget Street,85000,Flat / Apartment,826,2,2,2,Clerkenwell,London,EC1V 7PA
2107,Ennismore Avenue,87500,Flat / Apartment,977,2,2,2,Chiswick,London,W4 1SE
2108,Malthouse Passage,10000,House,1354,3,3,3,Barnes,London,SW13 0AQ
2109,Buckingham Court,105000,Flat / Apartment,751,2,2,2,78 Buckingham Gate,London,SW1E 6PE
2110,Lavender Hill,57500,Flat / Apartment,765,2,2,2,,London,SW11 5RW
2111,Benbow Road,99500,Flat / Apartment,1013,2,2,2,,London,W6 0AU
2112,Brendon Close,165000,House,3285,4,4,4,Esher,Surrey,KT10 9EH
2113,Wood Crescent,154500,New development,1440,2,2,2,,London,W12 7GJ
2114,The Highway,869995,Flat / Apartment,1333,2,2,2,,London,E1W 3HU
2115,Dungarvan Avenue,129500,House,1647,4,4,4,Putney,London,SW15 5QU
2116,Ensleigh Lodge,425000,House,3893,5,5,5,25 Ham Common,Surrey,TW10 7JB
2117,Bessborough Place,180000,House,1467,3,3,3,,London,SW1V 3SE
2118,Cabul Road,799950,Flat / Apartment,1194,3,3,3,,London,SW11 2PN
2119,Blackhills,1999500,House,3769,5,5,5,Esher,Surrey,KT10 9JW
2120,Borneo Street,77500,Flat / Apartment,863,2,2,2,Putney,London,SW15 1QQ
2121,Boleyn Road,88500,Penthouse,1084,3,3,3,,London,N16 8EP
2122,Farnsworth Court,49500,Flat / Apartment,821,2,2,2, Greenwich,London,SE10 0RU
2123,Seymour Road,155000,New development,2690,5,5,5,East Molesey,Surrey,KT8 0PF
2124,Chelsea Court,60000,Flat / Apartment,455,1,1,1,95 Elm Park Gardens,London,SW10 9QW
2125,Park Road,192500,House,4124,6,6,6,Banstead,Surrey,SM7 3EF
2126,Clapham Common North Side,342500,House,3622,6,6,6,,London,SW4 9SB
2127,Stillingfleet Road,150000,House,2278,5,5,5,Barnes,London,SW13 9AF
2128,Eustace Building,80000,Flat / Apartment,708,2,2,2, 372 Queenstown Road,London,SW11 8NT
2129,Highbury Place,105000,Flat / Apartment,1020,2,2,2,,London,N5 1QP
2130,Islington Green,67500,Flat / Apartment,628,2,2,2,Islington,London,N1 2XA
2131,Highgate High Street,87500,Flat / Apartment,1077,2,2,2,Highgate,London,N6 5JG
2132,Norman Avenue,190000,House,2061,5,5,5,,Twickenham,TW1 2LY
2133,Frithwood Avenue,45000,Flat / Apartment,708,2,2,2,Northwood,Middlesex,HA6 3LX
2134,Elsham Road,75000,Flat / Apartment,778,2,2,2,,London,W14 8HB
2135,Atkins Square,68500,New development,1000,3,3,3,Dalston Lane,London,E8 1FA
2136,Dukes Mews,40000,House,2435,3,3,3,Marylebone,London,W1U 3ET
2137,Beech Close,133500,House,1771,3,3,3,Putney,London,SW15 4HW
2138,Admiralty House,225000,New development,1265,3,3,3,150 Vaughan Way,London,E1W 2AH
